County,State,Metro,Date,ZHVI
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2010-01-31,535805.6834
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2010-02-28,537902.9824
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2010-03-31,546661.65
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2010-04-30,550643.2032
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2010-05-31,552618.645
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2010-06-30,547291.3812
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2010-07-31,540699.4788
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2010-08-31,536554.2388
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2010-09-30,534914.745
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2010-10-31,533853.0557
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2010-11-30,530315.17
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2010-12-31,525075.8686
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2011-01-31,522316.9802
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2011-02-28,518501.2829
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2011-03-31,516427.6283
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2011-04-30,513625.4281
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2011-05-31,509338.5738
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2011-06-30,508847.0686
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2011-07-31,507867.2078
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2011-08-31,509266.6376
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2011-09-30,504425.5233
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2011-10-31,498590.8793
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2011-11-30,497515.4438
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2011-12-31,497168.6122
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2012-01-31,498229.486
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2012-02-29,498414.4472
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2012-03-31,502540.8694
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2012-04-30,509216.7639
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2012-05-31,515417.0976
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2012-06-30,522218.8607
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2012-07-31,532540.9686
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2012-08-31,547015.661
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2012-09-30,563918.1751
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2012-10-31,580767.7486
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2012-11-30,597036.6729
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2012-12-31,612399.9298
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2013-01-31,624619.2011
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2013-02-28,631759.1003
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2013-03-31,634711.7788
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2013-04-30,636864.185
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2013-05-31,641548.1542
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2013-06-30,649270.0029
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2013-07-31,660817.1682
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2013-08-31,673190.6957
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2013-09-30,685990.3188
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2013-10-31,697485.6022
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2013-11-30,708808.4056
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2013-12-31,719705.9059
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2014-01-31,728114.9222
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2014-02-28,732783.4021
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2014-03-31,734552.1606
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2014-04-30,735976.2991
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2014-05-31,738042.6094
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2014-06-30,740087.3239
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2014-07-31,744683.5153
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2014-08-31,751967.9829
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2014-09-30,763101.757
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2014-10-31,775505.8952
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2014-11-30,790272.0899
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2014-12-31,805171.2971
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2015-01-31,818402.2313
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2015-02-28,828461.4122
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2015-03-31,834410.9831
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2015-04-30,837207.0067
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2015-05-31,840103.2496
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2015-06-30,845195.2263
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2015-07-31,854965.6277
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2015-08-31,867872.9736
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2015-09-30,884500.2408
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2015-10-31,900814.8785
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2015-11-30,914530.9987
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2015-12-31,925524.4177
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2016-01-31,935676.6383
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2016-02-29,945490.3432
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2016-03-31,949636.0703
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2016-04-30,948490.8619
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2016-05-31,943043.6795
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2016-06-30,937412.4089
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2016-07-31,928299.4133
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2016-08-31,916332.8982
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2016-09-30,903594.6007
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2016-10-31,895555.3962
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2016-11-30,892231.8233
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2016-12-31,893371.3616
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2017-01-31,901167.4947
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2017-02-28,915239.3176
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2017-03-31,932371.7864
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2017-04-30,946952.7705
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2017-05-31,957738.2268
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2017-06-30,967843.4661
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2017-07-31,970213.7983
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2017-08-31,967137.7281
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2017-09-30,961658.5197
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2017-10-31,963482.4527
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2017-11-30,968506.5661
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2017-12-31,978447.3112
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2018-01-31,998909.6595
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2018-02-28,1035724.821
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2018-03-31,1081311.636
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2018-04-30,1128779.498
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2018-05-31,1169795.181
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2018-06-30,1199792.796
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2018-07-31,1219913.966
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2018-08-31,1234659.772
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2018-09-30,1248288.224
Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",2018-10-31,1258727.384
