Date,NASDAQCOM
2010-01-31,2147.35
2010-02-28,2238.26
2010-03-31,2397.96
2010-04-30,2461.19
2010-05-31,2257.04
2010-06-30,2109.24
2010-07-31,2254.70
2010-08-31,2114.03
2010-09-30,2368.62
2010-10-31,2507.41
2010-11-30,2498.23
2010-12-31,2652.87
2011-01-31,2700.08
2011-02-28,2782.27
2011-03-31,2781.07
2011-04-30,2873.54
2011-05-31,2835.30
2011-06-30,2773.52
2011-07-31,2756.38
2011-08-31,2579.46
2011-09-30,2415.40
2011-10-31,2684.41
2011-11-30,2620.34
2011-12-31,2605.15
2012-01-31,2813.84
2012-02-29,2966.89
2012-03-31,3091.57
2012-04-30,3046.36
2012-05-31,2827.34
2012-06-30,2935.06
2012-07-31,2939.52
2012-08-31,3066.96
2012-09-30,3116.23
2012-10-31,2977.23
2012-11-30,3010.24
2012-12-31,3019.51
2013-01-31,3142.13
2013-02-28,3160.19
2013-03-31,3267.52
2013-04-30,3328.79
2013-05-31,3455.91
2013-06-30,3403.25
2013-07-31,3626.37
2013-08-31,3589.87
2013-09-30,3771.48
2013-10-31,3919.71
2013-11-30,4059.89
2013-12-31,4176.59
2014-01-31,4103.88
2014-02-28,4308.12
2014-03-31,4198.99
2014-04-30,4114.56
2014-05-31,4242.62
2014-06-30,4408.18
2014-07-31,4369.77
2014-08-31,4580.27
2014-09-30,4493.39
2014-10-31,4630.74
2014-11-30,4791.63
2014-12-31,4736.05
2015-01-31,4635.24
2015-02-28,4963.53
2015-03-31,4900.88
2015-04-30,4941.42
2015-05-31,5070.03
2015-06-30,4986.87
2015-07-31,5128.28
2015-08-31,4776.51
2015-09-30,4620.16
2015-10-31,5053.75
2015-11-30,5108.67
2015-12-31,5007.41
2016-01-31,4613.95
2016-02-29,4557.95
2016-03-31,4869.85
2016-04-30,4775.36
2016-05-31,4948.05
2016-06-30,4842.67
2016-07-31,5162.13
2016-08-31,5213.22
2016-09-30,5312.00
2016-10-31,5189.13
2016-11-30,5323.68
2016-12-31,5383.12
2017-01-31,5614.79
2017-02-28,5825.44
2017-03-31,5911.74
2017-04-30,6047.61
2017-05-31,6198.52
2017-06-30,6140.42
2017-07-31,6348.12
2017-08-31,6428.66
2017-09-30,6495.96
2017-10-31,6727.67
2017-11-30,6873.97
2017-12-31,6903.39
2018-01-31,7411.48
2018-02-28,7273.01
2018-03-31,7063.44
2018-04-30,7066.27
2018-05-31,7442.12
2018-06-30,7510.30
2018-07-31,7671.79
2018-08-31,8109.54
2018-09-30,8046.35
2018-10-31,7305.90
2018-11-30,7330.54
2018-12-31,6635.28
2019-01-31,7281.74
2019-02-28,7532.53
2019-03-31,7729.32
2019-04-30,8095.39
2019-05-31,7453.15
2019-06-30,8006.24
2019-07-31,8175.42
2019-08-31,7962.88
2019-09-30,7999.33
2019-10-31,8292.36
2019-11-30,8665.47
2019-12-31,8972.60
2020-01-31,9150.94
2020-02-29,8567.37
2020-03-31,7700.10
2020-04-30,8889.55
2020-05-31,9489.87
2020-06-30,10058.77
2020-07-31,10745.27
2020-08-31,11775.46
2020-09-30,11167.68
2020-10-31,10911.59
2020-11-30,12198.74
2020-12-31,12888.28
2021-01-31,13070.69
2021-02-28,13192.35
2021-03-31,13246.87
2021-04-30,13962.68
2021-05-31,13748.74
2021-06-30,14503.95
2021-07-31,14672.68
2021-08-31,15259.24
2021-09-30,14448.58
2021-10-31,15498.39
2021-11-30,15537.69
2021-12-31,15644.97
2022-01-31,14239.88
2022-02-28,13751.40
2022-03-31,14220.52
2022-04-30,12334.64
2022-05-31,12081.39
2022-06-30,11028.74
2022-07-31,12390.69
2022-08-31,11816.20
2022-09-30,10575.62
2022-10-31,10988.15
2022-11-30,11468.00
2022-12-31,10466.48
2023-01-31,11584.55
2023-02-28,11455.54
2023-03-31,12221.91
2023-04-30,12226.58
2023-05-31,12935.29
2023-06-30,13787.92
2023-07-31,14346.02
2023-08-31,14034.97
2023-09-30,13219.32
2023-10-31,12851.24
2023-11-30,14226.22
2023-12-31,15011.35
2024-01-31,15164.01
2024-02-29,16091.92
2024-03-31,16379.46
2024-04-30,15657.82
2024-05-31,16735.02
2024-06-30,17732.60
2024-07-31,17599.40
2024-08-31,17713.62
2024-09-30,18189.17
2024-10-31,18095.15
2024-11-30,19218.17
2024-12-31,19310.79
2025-01-31,19627.44
2025-02-28,18847.28
2025-03-31,17299.29
2025-04-30,17446.34
2025-05-31,19113.77
2025-06-30,20369.73
2025-07-31,21122.45
2025-08-31,21455.55
2025-09-30,22660.01
2025-10-31,23724.96
2025-11-30,23365.69
2025-12-31,23241.99
